epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.921750009059906;0.2748512029647827;0.001;0.971666693687439;0.10226453840732574
1;0.9761250019073486;0.08016718924045563;0.001;0.9817500114440918;0.06329584866762161
2;0.9835208058357239;0.05485973134636879;0.001;0.9815833568572998;0.061861131340265274
3;0.9864166378974915;0.0434194840490818;0.001;0.9850833415985107;0.04909026622772217
4;0.9901250004768372;0.033687058836221695;0.001;0.9869166612625122;0.050041504204273224
5;0.9915416836738586;0.02790372632443905;0.0009048374;0.9862499833106995;0.04540351405739784
6;0.9932291507720947;0.02193516120314598;0.0008187307;0.9879999756813049;0.04489384591579437
7;0.9947500228881836;0.01791943795979023;0.0007408181;0.9884999990463257;0.04189710319042206
8;0.9953749775886536;0.014969773590564728;0.0006703199;0.9879999756813049;0.04258545860648155
9;0.9963958263397217;0.011940857395529747;0.00060653046;0.9884999990463257;0.04029092565178871
10;0.9965208172798157;0.011913156136870384;0.00054881145;0.9881666898727417;0.04404529184103012
11;0.9974374771118164;0.009673022665083408;0.0004965851;0.9885833263397217;0.042638350278139114
12;0.9978958368301392;0.007639404386281967;0.00044932874;0.9889166951179504;0.04146970063447952
13;0.9979166388511658;0.007163550239056349;0.00040656942;0.9892500042915344;0.042307768017053604
14;0.9982708096504211;0.006157555151730776;0.0003678792;0.9891666769981384;0.042246509343385696
